Mes,Siniestros,Fallecidos,Lesiones Graves,Lesiones Menos graves,Lesiones Leves
Enero,"7,165",163,682,327,"3,821"
Febrero,"6,804",130,655,349,"3,857"
Marzo,"8,199",131,727,405,"4,102"
Abril,"7,687",130,635,353,"3,971"
Mayo,"8,184",132,675,347,"4,071"
Junio,"7,955",152,632,328,"4,003"
Julio,"7,508",147,649,356,"3,879"
Agosto,"7,581",126,611,320,"3,570"
Septiembre,"7,260",107,557,282,"3,399"
Octubre,"6,717",113,533,298,"3,287"
Noviembre,"7,037",130,648,330,"3,643"
Diciembre,"7,886",156,748,370,"4,329"
