Categoría: Todas las categorías

Semana,noticias: (Chile),virus: (Chile),metro: (Chile),mascarillas: (Chile),toque de queda: (Chile)
2019-06-02,14,1,13,<1,<1
2019-06-09,14,2,11,<1,<1
2019-06-16,12,2,11,<1,<1
2019-06-23,14,2,11,<1,<1
2019-06-30,13,2,12,<1,<1
2019-07-07,13,2,12,<1,<1
2019-07-14,12,2,14,<1,<1
2019-07-21,12,1,13,<1,<1
2019-07-28,13,1,13,<1,<1
2019-08-04,13,1,14,<1,<1
2019-08-11,12,1,14,<1,<1
2019-08-18,13,1,13,<1,<1
2019-08-25,12,1,13,<1,<1
2019-09-01,11,1,13,<1,<1
2019-09-08,13,1,13,<1,<1
2019-09-15,12,1,15,<1,<1
2019-09-22,11,1,12,<1,<1
2019-09-29,12,1,14,<1,<1
2019-10-06,10,1,13,<1,<1
2019-10-13,22,1,40,<1,10
2019-10-20,52,1,37,<1,100
2019-10-27,22,1,40,<1,4
2019-11-03,20,1,36,<1,1
2019-11-10,25,1,28,<1,1
2019-11-17,17,1,26,<1,<1
2019-11-24,16,1,35,<1,<1
2019-12-01,13,1,22,<1,<1
2019-12-08,13,1,21,<1,<1
2019-12-15,12,1,19,<1,<1
2019-12-22,12,1,15,<1,<1
2019-12-29,13,1,15,<1,<1
2020-01-05,14,1,15,<1,<1
2020-01-12,12,1,14,<1,<1
2020-01-19,11,5,13,<1,<1
2020-01-26,13,6,16,1,<1
2020-02-02,12,4,13,1,<1
2020-02-09,12,4,13,1,<1
2020-02-16,12,3,13,1,<1
2020-02-23,13,6,12,2,<1
2020-03-01,15,9,32,3,<1
2020-03-08,18,13,35,2,<1
2020-03-15,29,40,8,10,4
2020-03-22,23,24,7,8,8
2020-03-29,16,13,5,5,3
2020-04-05,15,10,5,14,3
2020-04-12,13,8,4,8,2
2020-04-19,13,6,5,7,2
2020-04-26,12,5,6,5,2
2020-05-03,11,5,6,4,2
2020-05-10,12,5,5,4,1
2020-05-17,12,5,4,4,1
2020-05-24,11,4,4,3,1
