ComunaSubida;ComunaBajada;MediaHora;ViajeLaboralPromedio;Viajes1Etapa;Viajes2Etapas;Viajes3Etapas;Viajes4Etapas;Viajes5oMasEtapas;ViajesUsanMetro;ViajesSoloMetro;ViajesSoloBus
MAIPU;MAIPU;0:00:00;102,987;95,923;7,064;0;0;0;0;0;102,987
MAIPU;PUDAHUEL;0:00:00;0,372;0,372;0;0;0;0;0;0;0,372
MAIPU;ESTACION CENTRAL;0:00:00;7,064;5,949;1,115;0;0;0;0;0;7,064
MAIPU;LO PRADO;0:00:00;0,744;0;0,744;0;0;0;0;0;0,744
MAIPU;CERRO NAVIA;0:00:00;0,372;0;0,372;0;0;0;0;0;0,372
MAIPU;QUILICURA;0:00:00;0,372;0;0,372;0;0;0;0;0;0,372
MAIPU;NUNOA;0:00:00;0,372;0,372;0;0;0;0;0;0;0,372
MAIPU;LAS CONDES;0:00:00;0,744;0,372;0,372;0;0;0;0;0;0,744
MAIPU;LO ESPEJO;0:00:00;0,372;0,372;0;0;0;0;0;0;0,372
MAIPU;CERRILLOS;0:00:00;1,859;1,859;0;0;0;0;0;0;1,859
MAIPU;PEDRO AGUIRRE CERDA;0:00:00;0,372;0,372;0;0;0;0;0;0;0,372
MAIPU;SANTIAGO;0:00:00;10,41;9,667;0,372;0,372;0;0;0;0;10,41
MAIPU;QUINTA NORMAL;0:00:00;0,372;0;0;0,372;0;0;0;0;0,372
MAIPU;RECOLETA;0:00:00;0,372;0;0;0,372;0;0;0;0;0,372
MAIPU;PENALOLEN;0:00:00;0,372;0,372;0;0;0;0;0;0;0,372
MAIPU;SAN RAMON;0:00:00;0,372;0;0,372;0;0;0;0;0;0,372
MAIPU;LA CISTERNA;0:00:00;1,487;1,487;0;0;0;0;0;0;1,487
MAIPU;LA FLORIDA;0:00:00;0,372;0;0,372;0;0;0;0;0;0,372
PUDAHUEL;MAIPU;0:00:00;2,897;2,173;0,362;0,362;0;0;0;0;2,897
PUDAHUEL;PUDAHUEL;0:00:00;8,691;8,329;0,362;0;0;0;0;0;8,691
PUDAHUEL;ESTACION CENTRAL;0:00:00;0,724;0,724;0;0;0;0;0;0;0,724
PUDAHUEL;LO PRADO;0:00:00;2,897;2,897;0;0;0;0;0;0;2,897
PUDAHUEL;CERRO NAVIA;0:00:00;4,708;4,345;0,362;0;0;0;0;0;4,708
PUDAHUEL;LAS CONDES;0:00:00;0,362;0,362;0;0;0;0;0;0;0,362
PUDAHUEL;CERRILLOS;0:00:00;0,362;0;0,362;0;0;0;0;0;0,362
PUDAHUEL;SANTIAGO;0:00:00;4,345;2,535;1,448;0,362;0;0;0;0;4,345
PUDAHUEL;QUINTA NORMAL;0:00:00;1,811;1,086;0,724;0;0;0;0;0;1,811
PUDAHUEL;PENALOLEN;0:00:00;0,362;0,362;0;0;0;0;0;0;0,362
PUDAHUEL;LA CISTERNA;0:00:00;0,724;0;0;0,362;0,362;0;0;0;0,724
ESTACION CENTRAL;MAIPU;0:00:00;11,915;10,11;1,805;0;0;0;0;0;11,915
ESTACION CENTRAL;PUDAHUEL;0:00:00;6,499;4,694;1,805;0;0;0;0;0;6,499
ESTACION CENTRAL;ESTACION CENTRAL;0:00:00;16,609;16,248;0,361;0;0;0;0;0;16,609
ESTACION CENTRAL;LO PRADO;0:00:00;6,499;6,499;0;0;0;0;0;0;6,499
ESTACION CENTRAL;CERRO NAVIA;0:00:00;1,805;1,444;0,361;0;0;0;0;0;1,805
ESTACION CENTRAL;RENCA;0:00:00;0,722;0;0,722;0;0;0;0;0;0,722
