"start","end","downloads","package"
2015-01-01,2015-01-31,6409,"ade4"
2015-02-01,2015-02-28,6293,"ade4"
2015-03-01,2015-03-31,8048,"ade4"
2015-04-01,2015-04-30,10813,"ade4"
2015-05-01,2015-05-31,10686,"ade4"
2015-06-01,2015-06-30,10335,"ade4"
2015-07-01,2015-07-31,7378,"ade4"
2015-08-01,2015-08-31,7158,"ade4"
2015-09-01,2015-09-30,8926,"ade4"
2015-10-01,2015-10-31,10673,"ade4"
2015-11-01,2015-11-30,14775,"ade4"
2015-12-01,2015-12-31,11973,"ade4"
2016-01-01,2016-01-31,11440,"ade4"
2016-02-01,2016-02-29,14303,"ade4"
2016-03-01,2016-03-31,20813,"ade4"
2016-04-01,2016-04-30,13671,"ade4"
2016-05-01,2016-05-31,15088,"ade4"
2016-06-01,2016-06-30,13617,"ade4"
2016-07-01,2016-07-31,12002,"ade4"
2016-08-01,2016-08-31,11072,"ade4"
2016-09-01,2016-09-30,14443,"ade4"
2016-10-01,2016-10-31,16096,"ade4"
2016-11-01,2016-11-30,19198,"ade4"
2016-12-01,2016-12-31,26878,"ade4"
2017-01-01,2017-01-31,21000,"ade4"
2017-02-01,2017-02-28,19996,"ade4"
2017-03-01,2017-03-31,29212,"ade4"
2017-04-01,2017-04-30,27554,"ade4"
2017-05-01,2017-05-31,24218,"ade4"
2017-06-01,2017-06-30,18486,"ade4"
2017-07-01,2017-07-31,16328,"ade4"
2017-08-01,2017-08-31,32171,"ade4"
2017-09-01,2017-09-30,23695,"ade4"
2017-10-01,2017-10-31,26455,"ade4"
2017-11-01,2017-11-30,27472,"ade4"
2017-12-01,2017-12-31,29153,"ade4"
2018-01-01,2018-01-31,26420,"ade4"
2018-02-01,2018-02-28,24651,"ade4"
2018-03-01,2018-03-31,26249,"ade4"
2018-04-01,2018-04-30,40219,"ade4"
2018-05-01,2018-05-31,32320,"ade4"
2018-06-01,2018-06-30,25024,"ade4"
2018-07-01,2018-07-31,23123,"ade4"
2018-08-01,2018-08-31,21461,"ade4"
2018-09-01,2018-09-30,41624,"ade4"
2018-10-01,2018-10-31,36492,"ade4"
2018-11-01,2018-11-30,34117,"ade4"
2018-12-01,2018-12-31,23941,"ade4"
2019-01-01,2019-01-31,26686,"ade4"
2019-02-01,2019-02-28,32743,"ade4"
2019-03-01,2019-03-31,31262,"ade4"
2019-04-01,2019-04-30,32919,"ade4"
2019-05-01,2019-05-31,36430,"ade4"
2019-06-01,2019-06-30,27534,"ade4"
2019-07-01,2019-07-31,28439,"ade4"
2019-08-01,2019-08-31,25509,"ade4"
2019-09-01,2019-09-30,29765,"ade4"
2019-10-01,2019-10-31,36837,"ade4"
2019-11-01,2019-11-30,36108,"ade4"
2019-12-01,2019-12-31,26383,"ade4"
2020-01-01,2020-01-31,26192,"ade4"
2020-02-01,2020-02-29,45931,"ade4"
2020-03-01,2020-03-31,43364,"ade4"
2020-04-01,2020-04-30,34626,"ade4"
2020-05-01,2020-05-07,5804,"ade4"
2015-01-01,2015-01-31,1243,"adehabitatHR"
2015-02-01,2015-02-28,1192,"adehabitatHR"
2015-03-01,2015-03-31,1578,"adehabitatHR"
2015-04-01,2015-04-30,1703,"adehabitatHR"
2015-05-01,2015-05-31,1235,"adehabitatHR"
2015-06-01,2015-06-30,1115,"adehabitatHR"
2015-07-01,2015-07-31,1200,"adehabitatHR"
2015-08-01,2015-08-31,1250,"adehabitatHR"
2015-09-01,2015-09-30,1272,"adehabitatHR"
2015-10-01,2015-10-31,1982,"adehabitatHR"
2015-11-01,2015-11-30,1994,"adehabitatHR"
2015-12-01,2015-12-31,1019,"adehabitatHR"
2016-01-01,2016-01-31,1179,"adehabitatHR"
2016-02-01,2016-02-29,1508,"adehabitatHR"
2016-03-01,2016-03-31,1383,"adehabitatHR"
2016-04-01,2016-04-30,1243,"adehabitatHR"
2016-05-01,2016-05-31,1197,"adehabitatHR"
2016-06-01,2016-06-30,1229,"adehabitatHR"
2016-07-01,2016-07-31,1140,"adehabitatHR"
2016-08-01,2016-08-31,1120,"adehabitatHR"
2016-09-01,2016-09-30,1830,"adehabitatHR"
2016-10-01,2016-10-31,1990,"adehabitatHR"
2016-11-01,2016-11-30,2371,"adehabitatHR"
2016-12-01,2016-12-31,1135,"adehabitatHR"
2017-01-01,2017-01-31,1499,"adehabitatHR"
2017-02-01,2017-02-28,1272,"adehabitatHR"
2017-03-01,2017-03-31,2031,"adehabitatHR"
2017-04-01,2017-04-30,1734,"adehabitatHR"
2017-05-01,2017-05-31,1760,"adehabitatHR"
2017-06-01,2017-06-30,1200,"adehabitatHR"
2017-07-01,2017-07-31,1425,"adehabitatHR"
2017-08-01,2017-08-31,1352,"adehabitatHR"
2017-09-01,2017-09-30,1803,"adehabitatHR"
2017-10-01,2017-10-31,2072,"adehabitatHR"
2017-11-01,2017-11-30,4451,"adehabitatHR"
2017-12-01,2017-12-31,1907,"adehabitatHR"
2018-01-01,2018-01-31,1865,"adehabitatHR"
2018-02-01,2018-02-28,1716,"adehabitatHR"
2018-03-01,2018-03-31,2184,"adehabitatHR"
2018-04-01,2018-04-30,2069,"adehabitatHR"
2018-05-01,2018-05-31,2058,"adehabitatHR"
2018-06-01,2018-06-30,1936,"adehabitatHR"
2018-07-01,2018-07-31,1728,"adehabitatHR"
2018-08-01,2018-08-31,1777,"adehabitatHR"
2018-09-01,2018-09-30,2810,"adehabitatHR"
2018-10-01,2018-10-31,3135,"adehabitatHR"
2018-11-01,2018-11-30,2639,"adehabitatHR"
2018-12-01,2018-12-31,1847,"adehabitatHR"
2019-01-01,2019-01-31,2634,"adehabitatHR"
2019-02-01,2019-02-28,2102,"adehabitatHR"
2019-03-01,2019-03-31,3366,"adehabitatHR"
2019-04-01,2019-04-30,4464,"adehabitatHR"
2019-05-01,2019-05-31,3954,"adehabitatHR"
2019-06-01,2019-06-30,2509,"adehabitatHR"
2019-07-01,2019-07-31,2956,"adehabitatHR"
2019-08-01,2019-08-31,2702,"adehabitatHR"
2019-09-01,2019-09-30,3074,"adehabitatHR"
2019-10-01,2019-10-31,4198,"adehabitatHR"
2019-11-01,2019-11-30,4032,"adehabitatHR"
2019-12-01,2019-12-31,2806,"adehabitatHR"
2020-01-01,2020-01-31,3607,"adehabitatHR"
2020-02-01,2020-02-29,4638,"adehabitatHR"
2020-03-01,2020-03-31,3860,"adehabitatHR"
2020-04-01,2020-04-30,3582,"adehabitatHR"
2020-05-01,2020-05-07,630,"adehabitatHR"
2015-01-01,2015-01-31,925,"adehabitatHS"
2015-02-01,2015-02-28,784,"adehabitatHS"
2015-03-01,2015-03-31,1061,"adehabitatHS"
2015-04-01,2015-04-30,1191,"adehabitatHS"
2015-05-01,2015-05-31,842,"adehabitatHS"
2015-06-01,2015-06-30,706,"adehabitatHS"
2015-07-01,2015-07-31,837,"adehabitatHS"
2015-08-01,2015-08-31,798,"adehabitatHS"
2015-09-01,2015-09-30,786,"adehabitatHS"
2015-10-01,2015-10-31,885,"adehabitatHS"
2015-11-01,2015-11-30,1027,"adehabitatHS"
2015-12-01,2015-12-31,638,"adehabitatHS"
2016-01-01,2016-01-31,674,"adehabitatHS"
2016-02-01,2016-02-29,682,"adehabitatHS"
2016-03-01,2016-03-31,672,"adehabitatHS"
2016-04-01,2016-04-30,571,"adehabitatHS"
2016-05-01,2016-05-31,550,"adehabitatHS"
2016-06-01,2016-06-30,540,"adehabitatHS"
2016-07-01,2016-07-31,551,"adehabitatHS"
2016-08-01,2016-08-31,499,"adehabitatHS"
2016-09-01,2016-09-30,621,"adehabitatHS"
2016-10-01,2016-10-31,667,"adehabitatHS"
2016-11-01,2016-11-30,810,"adehabitatHS"
2016-12-01,2016-12-31,493,"adehabitatHS"
2017-01-01,2017-01-31,582,"adehabitatHS"
2017-02-01,2017-02-28,455,"adehabitatHS"
2017-03-01,2017-03-31,701,"adehabitatHS"
2017-04-01,2017-04-30,819,"adehabitatHS"
2017-05-01,2017-05-31,587,"adehabitatHS"
2017-06-01,2017-06-30,473,"adehabitatHS"
2017-07-01,2017-07-31,618,"adehabitatHS"
2017-08-01,2017-08-31,472,"adehabitatHS"
2017-09-01,2017-09-30,576,"adehabitatHS"
2017-10-01,2017-10-31,681,"adehabitatHS"
2017-11-01,2017-11-30,2210,"adehabitatHS"
2017-12-01,2017-12-31,755,"adehabitatHS"
2018-01-01,2018-01-31,657,"adehabitatHS"
2018-02-01,2018-02-28,589,"adehabitatHS"
2018-03-01,2018-03-31,574,"adehabitatHS"
2018-04-01,2018-04-30,768,"adehabitatHS"
2018-05-01,2018-05-31,641,"adehabitatHS"
2018-06-01,2018-06-30,622,"adehabitatHS"
2018-07-01,2018-07-31,569,"adehabitatHS"
2018-08-01,2018-08-31,541,"adehabitatHS"
2018-09-01,2018-09-30,1031,"adehabitatHS"
2018-10-01,2018-10-31,978,"adehabitatHS"
2018-11-01,2018-11-30,967,"adehabitatHS"
2018-12-01,2018-12-31,709,"adehabitatHS"
2019-01-01,2019-01-31,964,"adehabitatHS"
2019-02-01,2019-02-28,844,"adehabitatHS"
2019-03-01,2019-03-31,998,"adehabitatHS"
2019-04-01,2019-04-30,2024,"adehabitatHS"
2019-05-01,2019-05-31,1736,"adehabitatHS"
2019-06-01,2019-06-30,859,"adehabitatHS"
2019-07-01,2019-07-31,1250,"adehabitatHS"
2019-08-01,2019-08-31,985,"adehabitatHS"
2019-09-01,2019-09-30,1133,"adehabitatHS"
2019-10-01,2019-10-31,1301,"adehabitatHS"
2019-11-01,2019-11-30,1266,"adehabitatHS"
2019-12-01,2019-12-31,1128,"adehabitatHS"
2020-01-01,2020-01-31,2186,"adehabitatHS"
2020-02-01,2020-02-29,1691,"adehabitatHS"
2020-03-01,2020-03-31,1246,"adehabitatHS"
2020-04-01,2020-04-30,1460,"adehabitatHS"
2020-05-01,2020-05-07,202,"adehabitatHS"
2015-01-01,2015-01-31,1446,"adehabitatLT"
2015-02-01,2015-02-28,1365,"adehabitatLT"
2015-03-01,2015-03-31,1929,"adehabitatLT"
2015-04-01,2015-04-30,2011,"adehabitatLT"
2015-05-01,2015-05-31,1443,"adehabitatLT"
2015-06-01,2015-06-30,1549,"adehabitatLT"
2015-07-01,2015-07-31,1430,"adehabitatLT"
2015-08-01,2015-08-31,1471,"adehabitatLT"
2015-09-01,2015-09-30,1469,"adehabitatLT"
2015-10-01,2015-10-31,1867,"adehabitatLT"
2015-11-01,2015-11-30,1958,"adehabitatLT"
2015-12-01,2015-12-31,1188,"adehabitatLT"
2016-01-01,2016-01-31,1269,"adehabitatLT"
2016-02-01,2016-02-29,2849,"adehabitatLT"
2016-03-01,2016-03-31,2589,"adehabitatLT"
2016-04-01,2016-04-30,1332,"adehabitatLT"
2016-05-01,2016-05-31,1463,"adehabitatLT"
2016-06-01,2016-06-30,1474,"adehabitatLT"
2016-07-01,2016-07-31,1342,"adehabitatLT"
2016-08-01,2016-08-31,1370,"adehabitatLT"
2016-09-01,2016-09-30,2862,"adehabitatLT"
2016-10-01,2016-10-31,2871,"adehabitatLT"
2016-11-01,2016-11-30,2611,"adehabitatLT"
2016-12-01,2016-12-31,1431,"adehabitatLT"
2017-01-01,2017-01-31,1810,"adehabitatLT"
2017-02-01,2017-02-28,1803,"adehabitatLT"
